date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:13	407680/407680	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe28d-63880%22	https://htmldemo.net/airi/airi/index-22.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-22.html	(from )
07:06:42	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Oct%202022%2001:06:43%20GMT	https://htmldemo.net/robots.txt		(from )
07:06:43	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260ffe3c0-47e%22	https://htmldemo.net/airi/airi/assets/img/favicon.ico	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/favicon.ico	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:43	4029/4029	---MC-	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202022%2007:56:55%20GMT	https://htmldemo.net/airi/airi/assets/img/icon.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/icon.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:43	202298/202298	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-3163a%22	https://htmldemo.net/airi/airi/assets/css/bootstrap.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/bootstrap.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:43	42781/42781	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-a71d%22	https://htmldemo.net/airi/airi/assets/css/font-awesome.min.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/font-awesome.min.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:44	5427/5427	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-1533%22	https://htmldemo.net/airi/airi/assets/css/dl-icon.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/dl-icon.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:44	99915/99915	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-1864b%22	https://htmldemo.net/airi/airi/assets/css/plugins.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/plugins.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:44	69316/69316	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-10ec4%22	https://htmldemo.net/airi/airi/assets/css/revoulation.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/revoulation.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:44	494837/494837	---MCZ	200	added ('OK')	text/css	etag:W/%2261953736-78cf5%22	https://htmldemo.net/airi/airi/assets/css/main.css	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/css/main.css	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:44	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ffe700-3c9e%22	https://htmldemo.net/airi/airi/assets/js/vendor/modernizr-2.8.3.min.js	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:45	194027/194027	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe287-2f5eb%22	https://htmldemo.net/airi/airi/index.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:46	2746/2746	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2001:06:47%20GMT	https://htmldemo.net/airi/airi/assets/img/logo/AIRIFURNITURE-white.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/logo/AIRIFURNITURE-white.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:46	2849/2849	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2001:06:47%20GMT	https://htmldemo.net/airi/airi/assets/img/logo/AIRIFURNITURE-black.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/logo/AIRIFURNITURE-black.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:46	103827/103827	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe2b0-19593%22	https://htmldemo.net/airi/airi/wishlist.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/wishlist.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:47	265806/265806	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe281-40e4e%22	https://htmldemo.net/airi/airi/index-21.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-21.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:47	247728/247728	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe24d-3c7b0%22	https://htmldemo.net/airi/airi/index-02.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-02.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:47	137080/137080	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe24b-21778%22	https://htmldemo.net/airi/airi/index-03.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-03.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:47	172536/172536	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe24e-2a1f8%22	https://htmldemo.net/airi/airi/index-04.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-04.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:47	608921/608921	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe254-94a99%22	https://htmldemo.net/airi/airi/index-05.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/index-05.html	(from https://htmldemo.net/airi/airi/index-22.html)
